c0,c1,c2,c3
Position,Velocity,Acceleration,Predecessor Distance
616.5168098,206.0384817,-39.18367339,64.27495513
621.3106494,205.6249389,-36.94970941,64.84884512
626.1969766,205.6242404,-33.07490792,65.55367079
631.4307064,205.8998488,-27.93864887,65.82196975
635.3368321,204.1582375,-24.98264671,66.01112578
640.9105741,203.355847,-23.6525647,65.82446372
646.4782666,202.4970095,-22.66614686,65.8622367
653.2210359,203.3196968,-20.00703741,65.08641633
657.0468281,203.3186307,-17.929236,65.23852289
662.8838409,203.8338476,-14.74570254,66.25563977
667.9782165,204.3824465,-11.76636949,65.24548038
673.2273806,205.124989,-8.717525705,65.72331835
679.5793261,206.2418435,-5.216963075,66.48918637
685.0161045,207.7427124,-0.463438738,66.87316115
3.459989023,209.7705416,6.040124232,67.00913687
7.753274418,209.6654163,11.43172463,68.12498631
14.90993035,211.2135532,17.32022676,66.7692358
20.84599656,212.5875042,23.66140204,66.44274077
25.36036166,213.9311179,30.71179429,66.05058873
31.30200924,215.0769377,36.04974295,65.66007658
36.15770889,216.4053021,40.47864081,66.37551924
41.77166251,217.4051197,43.04677132,66.21138929
47.18317519,219.3371074,46.27668797,66.27089514
52.73135441,220.3385104,48.44034972,64.82960529
58.7300845,221.1988078,49.41272379,64.45686699
64.23075352,222.1680769,49.65415274,64.39418395
71.24320907,224.2161658,50.23887733,62.57332343
77.60295638,226.8524126,51.83121123,61.73294816
83.90190901,229.5204544,54.81080013,60.62885911
90.21292826,232.0585699,59.43565617,58.90057177
96.34139028,233.7280647,62.48962575,57.88064009
102.5082649,237.0498509,67.16367845,56.67806158
108.6052541,239.8201288,72.20975121,55.71948176
114.9196596,241.6840145,76.78510399,54.38179487
120.7331093,243.3366185,80.33237528,53.80532421
126.0450516,244.5981968,83.1372179,52.32792377
131.2378773,244.7740769,83.3174426,52.15003436
137.2777925,244.4853312,81.56718569,51.17452442
142.9284101,243.8418956,76.91461552,49.2221593
148.8978596,242.9311084,68.80648932,48.13869824
154.3732596,241.3335278,57.09774204,48.03039072
156.7361143,237.2325594,40.63300292,49.35351554
